Created at 1/26/2008 10:57:17 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\Li2B12H12\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
1,1.02049259702373E-08,1.55454593563883E-35,4.71364063377237E-76,0,0,0,0,0,1.02049259702373E-08,0,0,0,0
2,1.0372288950623E-07,1.48368177199806E-33,3.20013078559158E-73,0,0,0,0,0,1.0372288950623E-07,0,0,0,0
3,9.07752470485118E-07,1.23073052373032E-31,1.90445483802258E-70,0,0,0,0,0,9.07752470485118E-07,0,0,0,0
4,6.84050811778675E-06,8.87299407801925E-30,9.93494164639755E-68,0,0,0,0,0,6.84050811778675E-06,0,0,0,0
5,4.43851193369516E-05,5.55984162572501E-28,4.54309328681745E-65,0,0,0,0,0,4.43851193369516E-05,0,0,0,0
6,2.47978809092669E-04,3.02788696913144E-26,1.82108274907532E-62,0,0,0,0,0,2.47978809092669E-04,0,0,0,0
7,1.19294387692904E-03,1.43318385241303E-24,6.39881269653035E-60,0,0,0,0,0,1.19294387692904E-03,0,0,0,0
8,4.94144577082785E-03,5.89588715843221E-23,1.97088283492509E-57,4.02404145901225E-104,0,0,0,0,4.94144577082785E-03,0,0,0,0
9,1.76245280090557E-02,2.10805252998306E-21,5.32125300063724E-55,6.4182042706961E-101,0,0,0,0,1.76245280090557E-02,0,0,0,0
10,5.41268522632864E-02,6.55086581624148E-20,1.25938553503697E-52,9.04350690287176E-98,0,0,0,0,5.41268522632864E-02,0,0,0,0
11,0.143135198748723,1.76929800522507E-18,2.61273393024937E-50,1.12572539738049E-94,0,0,0,0,0.143135198748723,0,0,0,0
12,0.325939418407069,4.15325198413644E-17,4.75141934423153E-48,1.23794202031892E-91,0,0,0,0,0.325939418407069,0,0,0,0
13,0.639198410929387,8.4734560999094E-16,7.5743126779543E-46,1.20265315747863E-88,1.79967173289689E-05,0,0,0,0.639216407646717,0,0,0,0
14,1.07991276297517,1.50251181417284E-14,1.05841208282962E-43,1.0321735777344E-85,5.39906120022185E-05,0,0,0,1.07996675358719,0,0,0,0
15,1.5732955002692,2.31558227505646E-13,1.2964567718759E-41,7.82595470238192E-83,1.07982604062064E-04,0,0,0,1.57340348287349,0,0,0,0
16,1.98189830668958,3.10161256171448E-12,1.39204406717996E-39,5.24196567410079E-80,1.79974073601207E-04,0,0,0,1.98207828076628,0,0,0,0
17,2.17542203237981,3.61077051090162E-11,1.31020610470645E-37,3.10186766996798E-77,2.69966860797812E-04,0,0,0,2.17569199927671,0,0,0,0
18,2.12493830256949,3.65340010743617E-10,1.08098071300591E-35,1.6215285901944E-74,3.77963265962279E-04,0,0,0,2.1253162662008,0,0,0,0
19,1.94563945676904,3.21276973054639E-09,7.81786134538716E-34,7.48855812638263E-72,5.039660495957E-04,0,0,0,1.9461434260314,0,0,0,0
