Created at 1/26/2008 10:23:33 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\hexagonal\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
1,4.69696000438767E-28,0,0,0,0,0,0,0,4.69696000438767E-28,0,0,0,0
2,3.07864573303672E-26,1.24185700985121E-100,0,0,0,0,0,0,3.07864573303672E-26,0,0,0,0
3,1.75115604305669E-24,2.32136858486374E-97,0,0,0,0,0,0,1.75115604305669E-24,0,0,0,0
4,8.64395016274109E-23,3.82323083299156E-94,0,0,0,0,0,0,8.64395016274109E-23,0,0,0,0
5,3.70272908931355E-21,5.54792836079111E-91,0,0,0,0,0,0,3.70272908931355E-21,0,0,0,0
6,1.37642926820868E-19,7.09324689162285E-88,0,0,0,0,0,0,1.37642926820868E-19,0,0,0,0
7,4.44025730689858E-18,7.99048638309719E-85,0,0,0,0,0,0,4.44025730689858E-18,0,0,0,0
8,1.24303871747236E-16,7.93076830846135E-82,0,0,0,0,0,0,1.24303871747236E-16,0,0,0,0
9,3.01983668839775E-15,6.93539524882165E-79,0,0,0,0,0,0,3.01983668839775E-15,0,0,0,0
10,6.36655575647809E-14,5.34368781436643E-76,0,0,0,0,0,0,6.36655575647809E-14,0,0,0,0
11,1.16479081299077E-12,3.62764555530958E-73,0,0,0,0,0,0,1.16479081299077E-12,0,0,0,0
12,1.84932673468112E-11,2.16981408175876E-70,0,0,0,0,0,0,1.84932673468112E-11,0,0,0,0
13,2.54801349081733E-10,1.14349457117143E-67,0,0,0,0,0,0,2.54801349081733E-10,0,0,0,0
14,3.04657758411362E-09,5.30957302495039E-65,0,0,0,0,0,0,3.04657758411362E-09,0,0,0,0
15,3.16115187465966E-08,2.17219593559447E-62,0,0,0,0,0,0,3.16115187465966E-08,0,0,0,0
16,2.84643573481046E-07,7.82982945633523E-60,0,0,0,0,0,0,2.84643573481046E-07,0,0,0,0
17,2.22423614242969E-06,2.48667779324267E-57,0,0,0,0,0,0,2.22423614242969E-06,0,0,0,0
18,1.5082906429653E-05,6.95825974851237E-55,0,0,0,0,0,0,1.5082906429653E-05,0,0,0,0
19,8.87597453523447E-05,1.71551952320749E-52,0,0,0,0,0,0,8.87597453523447E-05,0,0,0,0
20,4.53292259696216E-04,3.72652981591548E-50,0,0,0,0,0,0,4.53292259696216E-04,0,0,0,0
21,2.00900214797645E-03,7.13226454394398E-48,0,0,0,0,0,0,2.00900214797645E-03,0,0,0,0
22,7.72750455933171E-03,1.2027190603758E-45,0,0,0,0,0,0,7.72750455933171E-03,0,0,0,0
23,2.57981357965317E-02,1.7869600828426E-43,0,0,0,0,0,0,2.57981357965317E-02,0,0,0,0
24,7.47641951025279E-02,2.33926496492329E-41,0,0,0,0,0,0,7.47641951025279E-02,0,0,0,0
25,0.188142212626225,2.6980990497658E-39,0,0,0,0,0,0,0.188142212626225,0,0,0,0
26,0.411363482102668,2.7418915233417E-37,0,0,0,0,0,0,0.411363482102668,0,0,0,0
27,0.78239529589966,2.45502860254417E-35,0,0,2.44403846050484E-05,0,0,0,0.782419736284265,0,0,0,0
28,1.2974785938464,1.93676420996187E-33,0,0,7.33217951208607E-05,0,0,0,1.29755191564152,0,0,0,0
29,1.88458375492407,1.34620392751973E-31,0,0,1.46645514175399E-04,0,0,0,1.88473040043825,0,0,0,0
30,2.41818104846595,8.24439636146283E-30,0,0,2.44413465751935E-04,0,0,0,2.41842546193171,0,0,0,0
31,2.78320623817792,4.44857359961556E-28,0,0,3.66628215238641E-04,0,0,0,2.78357286639316,0,0,0,0
32,2.94399020145105,2.1149329576347E-26,0,0,5.3619813016944E-04,0,0,0,2.94452639958122,0,0,0,0
33,2.95299071751123,8.85903337093091E-25,5.17829021466988E-92,0,7.53127665904406E-04,0,0,0,2.95374384517713,0,0,0,0
34,2.88509236327034,3.2695650198057E-23,4.48565863033311E-89,0,1.01742252641942E-03,0,0,0,2.88610978579676,0,0,0,0
35,2.76124036273804,1.06318178550157E-21,3.46811871099357E-86,0,1.32908966445335E-03,0,0,0,2.76256945240249,0,0,0,0
36,2.53883021679155,3.04606373723535E-20,2.39325839823221E-83,0,1.68813728168755E-03,0,0,0,2.54051835407324,0,0,0,0
37,2.17414334664977,7.68925664214157E-19,1.47405310697896E-80,0,2.09457482895761E-03,0,0,0,2.17623792147873,0,0,0,0
38,1.68715830561069,1.71018715643074E-17,8.10334951548396E-78,0,2.5239726218923E-03,0,0,0,1.68968227823258,0,0,0,0
39,1.16477258106038,3.3513272966203E-16,3.97597746511851E-75,0,2.97634196909433E-03,0,0,0,1.16774892302948,0,0,0,0
40,0.707813875082853,5.78634035921462E-15,1.74121002556511E-72,0,3.45169478782738E-03,0,0,0,0.711265569870686,0,0,0,0
41,0.376460034977378,8.80248011780484E-14,6.80591163130555E-70,0,3.95004360432394E-03,0,0,0,0.38041007858179,0,0,0,0
42,0.174733040525656,1.17983181973574E-12,2.37437523906392E-67,0,4.47140155410897E-03,0,0,0,0.179204442080944,0,0,0,0
43,7.06730369367236E-02,1.39331459167122E-11,7.39333364409056E-65,0,4.99287722166463E-03,0,0,0,7.56659141723214E-02,0,0,0,0
44,2.48909566743533E-02,1.44974757526416E-10,2.0547507991842E-62,0,5.51448435518776E-03,0,0,0,3.04054411745158E-02,0,0,0,0
45,7.63105680782495E-03,1.32907624694945E-09,5.09689765015914E-60,0,6.03623670627048E-03,0,0,0,1.36672948431717E-02,0,0,0,0
46,2.03614132696515E-03,1.07354935995843E-08,1.12844544883182E-57,0,6.55814803025556E-03,0,0,0,8.59430009271431E-03,0,0,0,0
47,4.7279713596733E-04,7.64028091562529E-08,2.2298883979214E-55,0,7.08023208659197E-03,0,0,0,7.55310562536846E-03,0,0,0,0
48,9.55372036348841E-05,4.7908532378923E-07,3.93290619879814E-53,0,7.60250263919043E-03,0,0,0,7.6985189281491E-03,0,0,0,0
49,1.6808699859735E-05,2.64688172910726E-06,6.19115890547177E-51,0,8.12497345677914E-03,0,0,0,8.14442903836798E-03,0,0,0,0
50,2.64798149899978E-06,1.28848035412536E-05,8.6987773599886E-49,0,8.64765831325961E-03,0,0,0,8.66319109829986E-03,0,0,0,0
51,8.77255805480595E-07,5.52648513407411E-05,1.09086845160539E-46,0,9.17057098806264E-03,0,0,0,9.22671309520886E-03,0,0,0,0
52,3.29698763738379E-06,2.08862169774066E-04,1.22099658816953E-44,0,9.69372526650441E-03,0,0,0,9.90588442391586E-03,0,0,0,0
53,1.75128390539611E-05,6.9555506539939E-04,1.21978818055058E-42,0,1.02171349401428E-02,0,0,0,1.09302028445961E-02,0,0,0,0
54,8.30904220397439E-05,2.04128462326175E-03,1.08763279258322E-40,3.49199876910096E-114,1.07408138071336E-02,0,0,0,1.28651888524351E-02,0,0,0,0
55,3.48126878527524E-04,5.2801774072202E-03,8.65581703318605E-39,4.37241561285242E-111,1.12647756725875E-02,0,0,0,1.68930799583352E-02,0,0,0,0
56,1.28772336531381E-03,0.012042049510302,6.14839476699662E-37,4.94081195672633E-108,1.17890343489264E-02,0,0,0,2.51188072245422E-02,0,0,0,0
57,4.20537074947968E-03,2.42274031039752E-02,3.89801335661275E-35,5.03854044088822E-105,1.23136036562407E-02,0,0,0,4.07463775096955E-02,0,0,0,0
58,1.21250256387487E-02,4.30452123221118E-02,2.20573230442429E-33,4.63703855137955E-102,1.28384974226461E-02,1.62258081911635E-06,0,0,6.80103579643257E-02,0,0,0,0
59,3.08643903686918E-02,6.76697381879964E-02,1.11401281568278E-31,3.85128979495614E-99,1.33637294846415E-02,4.86778760894008E-06,0,0,0.111902725828939,0,0,0,0
60,0.069363245015788,9.44597217234825E-02,5.02175444823241E-30,2.88669716469552E-96,0.013889313687466,9.73571067385635E-06,0,0,0.17772201613741,0,0,0,0
61,0.137625136726656,0.117820447665372,2.02045257979254E-28,1.95265620985979E-93,0.014415263885457,1.62264854734508E-05,0,0,0.269877074762959,0,0,0,0
62,0.241080889960971,0.13275491270937,7.25554023625153E-27,1.19200995563888E-90,0.014950999714861,2.4340292626119E-05,0,0,0.388811142677828,0,0,0,0
