Created at 1/26/2008 3:55:54 PM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\orthorhombic\CPMD.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5.16674537718836E-112,0,0,0,0,0,0,0,5.16674537718836E-112,0,0,0,0
49,7.31757906669244E-109,0,0,0,0,0,0,0,7.31757906669244E-109,0,0,0,0
50,9.33635796906907E-106,0,0,0,0,0,0,0,9.33635796906907E-106,0,0,0,0
51,1.07311748934359E-102,0,0,0,0,0,0,0,1.07311748934359E-102,0,0,0,0
52,1.11116040662689E-99,0,0,0,0,0,0,0,1.11116040662689E-99,0,0,0,0
53,1.03649198975874E-96,0,0,0,0,0,0,0,1.03649198975874E-96,0,0,0,0
54,8.70993370058805E-94,0,0,0,0,0,0,0,8.70993370058805E-94,0,0,0,0
55,6.59361302787019E-91,0,0,0,0,0,0,0,6.59361302787019E-91,0,0,0,0
56,4.49667778047768E-88,0,0,0,0,0,0,0,4.49667778047768E-88,0,0,0,0
57,2.76261132866039E-85,0,0,0,0,0,0,0,2.76261132866039E-85,0,0,0,0
58,1.52900010571851E-82,0,0,0,0,0,0,0,1.52900010571851E-82,0,0,0,0
59,7.62350956405714E-80,0,0,0,0,0,0,0,7.62350956405714E-80,0,0,0,0
60,3.42422339794823E-77,0,0,0,0,0,0,0,3.42422339794823E-77,0,0,0,0
61,1.38557148985382E-74,0,0,0,0,0,0,0,1.38557148985382E-74,0,0,0,0
62,5.05074559261162E-72,0,0,0,0,0,0,0,5.05074559261162E-72,0,0,0,0
63,1.65860036086574E-69,0,0,0,0,0,0,0,1.65860036086574E-69,0,0,0,0
64,4.90667987685977E-67,0,0,0,0,0,0,0,4.90667987685977E-67,0,0,0,0
65,1.30765566778763E-64,0,0,0,0,0,0,0,1.30765566778763E-64,0,0,0,0
66,3.13948768253084E-62,0,0,0,0,0,0,0,3.13948768253084E-62,0,0,0,0
67,6.79022043780968E-60,0,0,0,0,0,0,0,6.79022043780968E-60,0,0,0,0
68,1.32302688776429E-57,0,0,0,0,0,0,0,1.32302688776429E-57,0,0,0,0
69,2.32227247324953E-55,0,0,0,0,0,0,0,2.32227247324953E-55,0,0,0,0
70,3.67212439988114E-53,0,0,0,0,0,0,0,3.67212439988114E-53,0,0,0,0
71,5.23095884534006E-51,0,0,0,0,0,0,0,5.23095884534006E-51,0,0,0,0
72,6.71281885821494E-49,0,0,0,0,0,0,0,6.71281885821494E-49,0,0,0,0
73,7.76047421126322E-47,0,0,0,0,0,0,0,7.76047421126322E-47,0,0,0,0
74,8.08223174449863E-45,0,0,0,0,0,0,0,8.08223174449863E-45,0,0,0,0
75,7.58287758296722E-43,0,0,0,0,0,0,0,7.58287758296722E-43,0,0,0,0
76,6.4090918815746E-41,0,0,0,0,0,0,0,6.4090918815746E-41,0,0,0,0
77,4.87998691613573E-39,0,0,0,0,0,0,0,4.87998691613573E-39,0,0,0,0
78,3.34734537367818E-37,0,0,0,0,0,0,0,3.34734537367818E-37,0,0,0,0
79,2.06843605002706E-35,0,0,0,0,0,0,0,2.06843605002706E-35,0,0,0,0
80,1.15144547967287E-33,0,0,0,0,0,0,0,1.15144547967287E-33,0,0,0,0
81,5.77436679054534E-32,0,0,0,0,0,0,0,5.77436679054534E-32,0,0,0,0
82,2.60870554817118E-30,0,0,0,0,0,0,0,2.60870554817118E-30,0,0,0,0
83,1.06170891399988E-28,0,0,0,0,0,0,0,1.06170891399988E-28,0,0,0,0
84,3.89265193371566E-27,0,0,0,0,0,0,0,3.89265193371566E-27,0,0,0,0
85,1.28571700595295E-25,0,0,0,0,0,0,0,1.28571700595295E-25,0,0,0,0
86,3.82564714747319E-24,0,0,0,0,0,0,0,3.82564714747319E-24,0,0,0,0
87,1.02547278908804E-22,0,0,0,0,0,0,0,1.02547278908804E-22,0,0,0,0
88,2.47629897352954E-21,0,0,0,0,0,0,0,2.47629897352954E-21,0,0,0,0
89,5.38693482781512E-20,0,0,0,0,0,0,0,5.38693482781512E-20,0,0,0,0
90,1.05569890758437E-18,0,0,0,0,0,0,0,1.05569890758437E-18,0,0,0,0
91,1.86379494672674E-17,0,0,0,0,0,0,0,1.86379494672674E-17,0,0,0,0
92,2.9642572766425E-16,0,0,0,0,0,0,0,2.9642572766425E-16,0,0,0,0
93,4.24710860180818E-15,0,0,0,0,0,0,0,4.24710860180818E-15,0,0,0,0
94,5.48189288284179E-14,0,0,0,0,0,0,0,5.48189288284179E-14,0,0,0,0
95,6.37422560903082E-13,0,0,0,0,0,0,0,6.37422560903082E-13,0,0,0,0
96,6.67704070031861E-12,0,0,0,0,0,0,0,6.67704070031861E-12,0,0,0,0
97,6.3008671548101E-11,0,0,0,0,0,0,0,6.3008671548101E-11,0,0,0,0
98,5.35644105268694E-10,0,0,0,0,0,0,0,5.35644105268694E-10,0,0,0,0
99,4.10215478652049E-09,0,0,0,0,0,0,0,4.10215478652049E-09,0,0,0,0
100,2.83013703302583E-08,0,0,0,0,0,0,0,2.83013703302583E-08,0,0,0,0
101,1.75898684660328E-07,0,0,0,0,0,0,0,1.75898684660328E-07,0,0,0,0
