Created at 1/26/2008 11:03:47 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\orthorhombic\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
1,2.07237026920837E-08,9.97904996900088E-35,9.73292372422385E-75,0,0,0,0,0,2.07237026920837E-08,0,0,0,0
2,2.1101222281208E-07,9.52415752016138E-33,6.6077728025292E-72,0,0,0,0,0,2.1101222281208E-07,0,0,0,0
3,1.85148366115388E-06,7.90039904759743E-31,3.93240920923401E-69,0,0,0,0,0,1.85148366115388E-06,0,0,0,0
4,1.40027089251481E-05,5.69582460991709E-29,2.05141798880559E-66,0,0,0,0,0,1.40027089251481E-05,0,0,0,0
5,9.13121261205786E-05,3.56902311377076E-27,9.38083522801764E-64,0,0,0,0,0,9.13121261205786E-05,0,0,0,0
6,5.1364417064226E-04,1.94369162113168E-25,3.76028533032169E-61,0,0,0,0,0,5.1364417064226E-04,0,0,0,0
7,2.49386551065956E-03,9.20006139557047E-24,1.32127160561333E-58,0,0,0,0,0,2.49386551065956E-03,0,0,0,0
8,1.04594404392715E-02,3.78477106622888E-22,4.069635320251E-56,2.67405041624633E-102,0,0,0,0,1.04594404392715E-02,0,0,0,0
9,3.79346343430516E-02,1.35323828179983E-20,1.09878084226773E-53,4.26501614767698E-99,0,0,0,0,3.79346343430516E-02,0,0,0,0
10,0.119146768337773,4.20528145579164E-19,2.6005127434222E-51,6.00960324961099E-96,0,0,0,0,0.119146768337773,0,0,0,0
11,0.32470294348793,1.13580174623241E-17,5.39509853481956E-49,7.48069206952801E-93,0,0,0,0,0.32470294348793,0,0,0,0
12,0.769773781502971,2.66622912664613E-16,9.81143363481238E-47,8.22640507902992E-90,0,0,0,0,0.769773781502971,0,0,0,0
13,1.59286803350335,5.43977671904557E-15,1.56407840202468E-44,7.99191323095764E-87,3.61317112569297E-05,0,0,0,1.59290416521461,0,0,0,0
14,2.8895410923868,9.64617509112621E-14,2.18563612817555E-42,6.85904748911586E-84,1.08396057444135E-04,0,0,0,2.88964948844434,0,0,0,0
15,4.62037243253164,1.48669663977026E-12,2.67726229408254E-40,5.20054992473301E-81,2.52177379830725E-04,0,0,0,4.62062460991295,0,0,0,0
16,6.55452095412102,1.99152969598897E-11,2.87473781662467E-38,3.48343072077802E-78,4.67479358736092E-04,0,0,0,6.55498843349967,0,0,0,0
17,8.30860425011643,2.31875333885816E-10,2.70583002510251E-36,2.06128279650349E-75,7.86192793224067E-04,0,0,0,8.30939044314153,0,0,0,0
18,9.47736411759889,2.34657782433592E-09,2.23253671027327E-34,1.07755768785156E-72,1.20832585133854E-03,0,0,0,9.47857244579681,0,0,0,0
19,9.78344511161896,2.06415447975228E-08,1.61470673154627E-32,4.97640939316482E-70,1.73388935601297E-03,0,0,0,9.78517902161652,0,0,0,0
20,9.16836142115813,1.57833054221513E-07,1.02373390480307E-30,2.0303194734975E-67,2.36289678534588E-03,0,0,0,9.17072447577653,0,0,0,0
21,7.79798718078028,1.0491453010071E-06,5.68958694087603E-29,7.3178832225075E-65,3.09536427294402E-03,0,0,0,7.80108359419852,0,0,0,0
22,5.99866421675122,6.06326921061888E-06,2.77189620446898E-27,2.3301266110259E-62,3.93131060833319E-03,0,0,0,6.00260159062876,0,0,0,0
23,4.1495252637986,3.04713605533664E-05,1.18380122812052E-25,6.55460737163957E-60,4.87075723743667E-03,0,0,0,4.15442649239659,0,0,0,0
24,2.56363089501402,1.33203646739003E-04,4.43190142208074E-24,1.62887279532383E-57,5.87759655186444E-03,0,0,0,2.56964169521263,0,0,0,0
25,1.40505617175954,5.06730493526957E-04,1.45450723924499E-22,3.57603073423502E-55,6.95185438836749E-03,0,0,0,1.41251475664144,0,0,0,0
26,0.679048828775633,1.67875291745168E-03,4.18468364494439E-21,6.93568281252258E-53,8.05817582433999E-03,0,0,0,0.688785757517424,0,0,0,0
27,0.287941818659379,4.84887753829435E-03,1.05545246057648E-19,1.18836955139555E-50,9.19658925711397E-03,0,0,0,0.301987285454787,0,0,0,0
28,0.106702646926621,0.012232912119058,2.33375274012293E-18,1.79882379284978E-48,1.03352386250822E-02,0,0,0,0.129270797670761,0,0,0,0
29,3.44486907635475E-02,2.70338208704067E-02,4.52402680839292E-17,2.40547681976732E-46,1.14741531583471E-02,0,0,0,7.29566647923013E-02,0,0,0,0
30,9.66667605599792E-03,5.25714753903365E-02,7.68896603157411E-16,2.84177678922643E-44,0.012613362093764,1.54111780690121E-06,0,0,7.48530546579061E-02,0,0,0,0
31,2.35352861858113E-03,9.05952833172527E-02,1.14579522450217E-14,2.96589635547359E-42,1.37528946756857E-02,4.62339407940521E-06,0,0,0.10670633000561,0,0,0,0
32,4.96504784271912E-04,0.139792917852185,1.49717846821145E-13,2.73464173150969E-40,1.48927801567076E-02,9.24691013596628E-06,0,0,0.15519144970345,0,0,0,0
33,9.06690011452653E-05,0.195931733674241,1.7155706006749E-12,2.22753694750999E-38,1.60330477984125E-02,1.64398304687491E-05,0,0,0.212071890305983,0,0,0,0
34,1.43220518982697E-05,0.253846178258572,1.72411415267995E-11,1.60299201836319E-36,1.71737268721166E-02,2.71109870906044E-05,0,0,0.271061338186918,0,0,0,0
35,1.95579979011467E-06,0.309448985696414,1.51990743902532E-10,1.01911271954514E-34,1.83148466596146E-02,4.27670561921293E-05,0,0,0.327808555364002,0,0,0,0
36,2.30801863744359E-07,0.359665694374939,1.17559194516073E-09,5.72401274312557E-33,0.019456436453926,6.34084520273665E-05,0,0,0.379185771258348,0,0,0,0
37,2.35298242169642E-08,0.400580919571741,7.98014079577887E-09,2.84034021188676E-31,0.020598525560041,8.99565830215903E-05,0,0,0.421269433224769,0,0,0,0
